source_id,source_name,city,title,price_usd,url,first_seen_at,last_seen_at,sent_in_email,sent_at,latitude,longitude,thumbnail_url,description
craigslist_7911942577,craigslist,"New York","Furnished 2 Bdrm, 1 Bath with utilities included$3,250Bedford Stuyvesant",3250.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-furnished-bdrm-bath-with/7911942577.html,"2026-02-02 03:22:35","2026-02-03 05:03:26.350020",0,,,,,
craigslist_7911823336,craigslist,"New York","HUGE bright 1BR+ Home Office! Williamsburg! 6min to L Graham! 900sqft!$3,495Williamsburg",3495.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-huge-bright-1br-home-office/7911823336.html,"2026-02-02 03:22:35","2026-02-03 05:03:26.350024",0,,,,,
craigslist_7911766800,craigslist,"New York","1790 SHEEPSHEAD BAY ROAD ONE BEDROOM NEAR #7 B F TRAIN AND 35MIN TO N$2,650BROOKLYN",2650.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-1790-sheepshead-bay-road-one/7911766800.html,"2026-02-02 03:22:35","2026-02-03 05:03:26.350028",0,,,,,
craigslist_7911703490,craigslist,"New York","#Sunset park# industry#city#Area# D,N#expresstrain#renovated$2,500Brooklyn,",2500.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-sunset-park-industrycityarea/7911703490.html,"2026-02-02 03:22:35","2026-02-03 05:03:26.350032",0,,,,,
craigslist_7911677559,craigslist,"New York","NO FEE*FULL FLOOR*2BR APT*PRIVATE BACKYARD*NEAR J, Z TRAINS*$3,800Bushwick",3800.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-no-feefull-floor2br-aptprivate/7911677559.html,"2026-02-02 03:22:35","2026-02-03 05:03:26.350035",0,,,,,
craigslist_7911649935,craigslist,"New York","APARTMENTS IN GREENPOINT & WILLIAMSBURG BROOKLYN$3,500Brooklyn",3500.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-apartments-in-greenpoint/7911649935.html,"2026-02-02 03:22:35","2026-02-03 05:03:26.350039",0,,,,,
craigslist_7911601413,craigslist,"New York","WILLY B GEM!SUNNY 2 BED!CLOSET SPACE!NEAR SUBWAY!MINS TO CITY!MUST SEE$3,400Williamsburg",3400.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-willy-gemsunny-bedcloset/7911601413.html,"2026-02-02 03:22:35","2026-02-03 05:03:26.350043",0,,,,,
craigslist_7911475173,craigslist,"New York","___HUGE Penthouse ___- Elevator - Gym - Laundry InApt - Roof-Parking__$3,750WILLIAMSBURG right @ M L J Trains___________________________",3750.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-huge-penthouse-elevator-gym/7911475173.html,"2026-02-02 03:22:35","2026-02-03 05:03:26.350207",0,,,,,
craigslist_7911435549,craigslist,"New York","Historic Home on rural lane, 2 hours north of NYC$2,650Germantown, NY",2650.0,https://newyork.craigslist.org/brk/apa/d/germantown-historic-home-on-rural-lane/7911435549.html,"2026-02-02 03:22:35","2026-02-03 05:03:26.350222",0,,,,,
craigslist_7911401228,craigslist,"New York","Renovated all new 2 bedroom includes cooking gas heat hot water dog ok$3,000Bay Ridge",3000.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-renovated-all-new-bedroom/7911401228.html,"2026-02-02 03:22:35","2026-02-03 05:03:26.350227",0,,,,,
